Exchange,Side,Symbol,Size,Price
NYSE,Bid,GOOG,1300,923.17
NASDAQ,Ask,AAPL,3300,153.99
NYSE,Ask,AAPL,2400,153.85
NYSE,Ask,GOOG,4400,922.88
NYSE,Bid,AAPL,1100,153.9
IEX,Bid,GOOG,4900,923.73
NYSE,Ask,AAPL,4400,153.2
NYSE,Bid,GOOG,800,923.93
NYSE,Ask,GOOG,200,923.85
NASDAQ,Bid,GOOG,1300,924.62
NASDAQ,Ask,AAPL,900,153.37
IEX,Ask,GOOG,4700,925.33
NYSE,Ask,GOOG,700,925.81
NYSE,Bid,AAPL,1000,152.72
NYSE,Bid,AAPL,700,152.91
NASDAQ,Bid,GOOG,1700,925.57
NASDAQ,Bid,AAPL,2400,153.32
NASDAQ,Bid,GOOG,2000,924.85
NYSE,Bid,AAPL,2400,153.37
NYSE,Ask,AAPL,2300,153.29
NASDAQ,Bid,GOOG,2200,925.51
NASDAQ,Ask,AAPL,3800,153.43
NYSE,Ask,GOOG,100,924.63
NYSE,Bid,AAPL,2100,154.14
NASDAQ,Ask,AAPL,4100,155
NYSE,Bid,GOOG,1500,924.54
NASDAQ,Bid,GOOG,600,923.87
IEX,Ask,GOOG,300,924.01
IEX,Ask,AAPL,2500,154.15
IEX,Ask,AAPL,500,155.08
IEX,Ask,GOOG,4800,923.86
NASDAQ,Bid,GOOG,4700,923.41
NYSE,Ask,GOOG,2600,923.54
NYSE,Bid,GOOG,4700,923.3
NYSE,Bid,AAPL,1700,155.99
NYSE,Bid,AAPL,2000,156.03
NYSE,Bid,GOOG,100,922.68
NASDAQ,Ask,GOOG,3000,923.44
NYSE,Bid,GOOG,100,924.09
NYSE,Ask,AAPL,1200,156.81
NYSE,Bid,AAPL,3300,157.49
IEX,Ask,GOOG,3000,924.52
NYSE,Ask,AAPL,1900,157.74
IEX,Ask,AAPL,1800,157.69
NYSE,Ask,AAPL,700,158.28
NYSE,Ask,GOOG,1500,924.03
IEX,Ask,GOOG,200,923.61
NYSE,Bid,AAPL,900,157.57
IEX,Ask,GOOG,4100,923.65
NYSE,Bid,GOOG,300,923.12
NYSE,Bid,AAPL,1000,157.13
NASDAQ,Bid,AAPL,1300,156.13
NASDAQ,Ask,GOOG,4800,922.73
NYSE,Ask,GOOG,3500,922.37
NYSE,Ask,AAPL,4500,156.22
NASDAQ,Ask,AAPL,1600,156.63
NYSE,Ask,GOOG,2900,922.5
NYSE,Ask,GOOG,3100,922.52
NASDAQ,Bid,AAPL,5000,157.44
NASDAQ,Bid,GOOG,1200,921.65
NASDAQ,Ask,AAPL,1100,157.85
NYSE,Ask,GOOG,1400,922.23
NYSE,Ask,AAPL,3100,157.11
NYSE,Ask,AAPL,2600,157.47
NYSE,Bid,GOOG,4800,922.59
IEX,Bid,AAPL,2900,157.42
NYSE,Ask,GOOG,300,922.32
NYSE,Bid,AAPL,300,157
NYSE,Ask,GOOG,1700,922.63
NYSE,Ask,AAPL,400,156.5
NYSE,Bid,AAPL,4600,156.93
NYSE,Bid,GOOG,2200,921.88
NYSE,Ask,AAPL,200,155.93
NASDAQ,Bid,AAPL,3400,156.89
IEX,Bid,GOOG,2100,922.88
NYSE,Ask,GOOG,2200,922.38
NYSE,Ask,AAPL,4100,157.08
NYSE,Bid,GOOG,2400,921.42
NASDAQ,Ask,AAPL,2700,156.28
